"id","name","slug","abbrev","level","parent"
443,Acushnet,acushnet,,l,1
444,Adams,adams,,l,1
445,Agawam,agawam,,l,1
446,Alford,alford,,l,1
447,Amesbury,amesbury,,l,1
448,Andover,andover,,l,1
449,Aquinnah,aquinnah,,l,1
450,Arlington,arlington,,l,1
451,Ashburnham,ashburnham,,l,1
452,Ashby,ashby,,l,1
453,Ashfield,ashfield,,l,1
454,Athol,athol,,l,1
455,Attleboro,attleboro,,l,1
456,Auburn,auburn,,l,1
457,Avon,avon,,l,1
458,Ayer,ayer,,l,1
459,Barre,barre,,l,1
460,Becket,becket,,l,1
461,Bedford,bedford,,l,1
462,Belchertown,belchertown,,l,1
463,Bellingham,bellingham,,l,1
464,Berkley,berkley,,l,1
465,Berlin,berlin,,l,1
466,Bernardston,bernardston,,l,1
467,Billerica,billerica,,l,1
468,Blackstone,blackstone,,l,1
469,Blandford,blandford,,l,1
470,Bolton,bolton,,l,1
471,Bourne,bourne,,l,1
472,Boxborough,boxborough,,l,1
473,Boxford,boxford,,l,1
474,Boylston,boylston,,l,1
475,Brewster,brewster,,l,1
476,Bridgewater,bridgewater,,l,1
477,Brimfield,brimfield,,l,1
478,Brookfield,brookfield,,l,1
479,Buckland,buckland,,l,1
480,Canton,canton,,l,1
481,Carlisle,carlisle,,l,1
482,Carver,carver,,l,1
483,Charlemont,charlemont,,l,1
484,Charlton,charlton,,l,1
485,Chatham,chatham,,l,1
486,Cheshire,cheshire,,l,1
487,Chester,chester,,l,1
488,Chesterfield,chesterfield,,l,1
489,Chicopee,chicopee,,l,1
490,Chilmark,chilmark,,l,1
491,Clarksburg,clarksburg,,l,1
492,Clinton,clinton,,l,1
493,Colrain,colrain,,l,1
494,Conway,conway,,l,1
495,Cummington,cummington,,l,1
496,Dalton,dalton,,l,1
497,Dartmouth,dartmouth,,l,1
498,Deerfield,deerfield,,l,1
499,Dennis,dennis,,l,1
500,Dighton,dighton,,l,1
501,Douglas,douglas,,l,1
502,Dracut,dracut,,l,1
503,Dudley,dudley,,l,1
504,Dunstable,dunstable,,l,1
505,Duxbury,duxbury,,l,1
506,East Bridgewater,east-bridgewater,,l,1
507,East Brookfield,east-brookfield,,l,1
508,East Longmeadow,east-longmeadow,,l,1
509,Eastham,eastham,,l,1
510,Easthampton,easthampton,,l,1
511,Easton,easton,,l,1
512,Edgartown,edgartown,,l,1
513,Egremont,egremont,,l,1
514,Erving,erving,,l,1
515,Essex,essex,,l,1
516,Fairhaven,fairhaven,,l,1
517,Falmouth,falmouth,,l,1
518,Florida,florida,,l,1
519,Freetown,freetown,,l,1
520,Gardner,gardner,,l,1
521,Georgetown,georgetown,,l,1
522,Gill,gill,,l,1
523,Goshen,goshen,,l,1
524,Gosnold,gosnold,,l,1
525,Grafton,grafton,,l,1
526,Granby,granby,,l,1
527,Granville,granville,,l,1
528,Great Barrington,great-barrington,,l,1
529,Greenfield,greenfield,,l,1
530,Groveland,groveland,,l,1
531,Hadley,hadley,,l,1
532,Halifax,halifax,,l,1
533,Hamilton,hamilton,,l,1
534,Hampden,hampden,,l,1
535,Hancock,hancock,,l,1
536,Hanover,hanover,,l,1
537,Hanson,hanson,,l,1
538,Hardwick,hardwick,,l,1
539,Harvard,harvard,,l,1
540,Harwich,harwich,,l,1
541,Hatfield,hatfield,,l,1
542,Heath,heath,,l,1
543,Hinsdale,hinsdale,,l,1
544,Holbrook,holbrook,,l,1
545,Holden,holden,,l,1
546,Holland,holland,,l,1
547,Holliston,holliston,,l,1
