"id","name","slug","status","exempt","requires_proxy","jurisdiction","parent","appeal_agency"
22547,Jacksonville State University,jacksonville-state-university-700-pelham-rd-n-jacksonville-al-36265,approved,False,True,798,,
23833,Police Department,police-department,approved,False,False,17033,,
4058,"Equal Employment Opportunity Commission, San Antonio Field Office",equal-employment-opportunity-commission-san-antonio-field-office,approved,False,False,10,,
23831,City Of Bridgeport Police Department,city-of-bridgeport-police-department,approved,False,False,32196,,
222,Somerville Historic Preservation Commission,somerville-historic-preservation-commission,approved,False,False,8,,
245,Office of Strategic Planning and Community Development Annex,office-of-strategic-planning-and-community-development-annex,approved,False,False,8,,
249,"Inspectional Services Division, Building Permits",inspectional-services-division-building-permits,approved,False,False,8,,
208,Washington State Criminal Justice Training Commission,washington-state-criminal-justice-training-commission,approved,False,False,54,,
23863,Harvey Police Department,harvey-police-department,approved,False,False,7917,,
23931,Cedarburg School District,cedarburg-school-district,approved,False,False,8670,,
376,Virginia Commonwealth University,virginia-commonwealth-university,approved,False,True,128,,
179,Somerville Housing Authority,somerville-housing-authority,approved,False,False,8,,
3969,Department of Correction,department-correction,approved,False,True,114,,
23865,Village Clerk’s office,rodriguezymsvflgov,approved,False,False,10562,,
23864,Rutland County Sheriff,rutland-county-sheriff,approved,False,False,80,,
23912,Denton County Elections Administration,elections,approved,False,False,2600,,
23926,Quinnipiac University,quinnipiac-university,approved,False,False,5592,,
23599,Technology & Innovation,technology-innovation,approved,False,False,343,,
503,Chicago Police Department,chicago-police-department,approved,False,False,169,,
17947,"Bureau of Land Management, High Plains, Wyoming",bureau-of-land-management-wy,approved,False,False,33599,,
23911,Los Angeles Police Department Newton Division,los-angeles-police-department-newton-division,approved,False,False,91,,
23582,"Public Works Department, Coral Gabels",public-works-department-coral-gabels,approved,False,False,34,,
23855,Dublin San Ramon Services District,dublin-san-ramon-services-district,approved,False,False,3192,,
23600,Public Service,public-service,approved,False,False,323,,
23841,Hudson Police Department,hudson-police-department,approved,False,False,3906,,
331,"Department of Public Safety, Architectural Access Board",ma-department-of-public-safety-architectural-access-board-one-ashburton-place-room-1310-boston-ma-02108,approved,False,False,1,,
287,Office of Government Information Services,office-of-government-information-services,approved,False,False,10,,
9893,Georgia Information Sharing Analysis Center,georgia-information-sharing-analysis-center,approved,False,False,230,,
223,Federal Retirement Thrift Investment Board,federal-retirement-thrift-investment-board,approved,False,False,10,,
23839,Rochester Police Department,rochester-police-department,approved,False,False,3980,,
23904,Blm Utah,blm-utah,approved,False,False,359,,
23836,Salisbury Police Department,salisbury-police-department,approved,False,False,16636,,
4234,State University of New York At Morrisville,state-university-of-new-york-at-morrisville,approved,False,False,16,,
23866,Village Clerk,rdsbalharbourflgov,approved,False,False,10549,,
23832,Barboursville Police Dept,barboursville-police-dept,approved,False,False,32161,,
11007,"Superior Court of California, County of Humboldt",superior-court,approved,False,False,3039,,
282,City of Benson,city-of-benson,approved,False,False,95,,
300,Mayor's Office,mayors-office,approved,False,False,101,,
37469,Arkansas Board Of Pharmacy,arkansas-board-of-pharmacy,approved,False,False,114,,
23907,Parks And Recreation Denver,parks-and-recreation-denver,approved,False,False,145,,
349,University of Central Florida Police Department,university-central-florida-police-department,approved,False,False,123,,
23859,Long Beach Housing Authority,long-beach-housing-authority,approved,False,False,316,,
23928,Virgin Islands Department Of Health,virgin-islands-department-of-health,approved,False,False,33641,,
23941,Fbi Austin,fbi-austin,approved,False,False,139,,
8782,Champaign Police Department,champaign-police-department,approved,False,False,7637,,
23957,City Of Bessemer,city-of-bessemer,approved,False,True,159,,
23565,Building Department,building-department,approved,False,False,454,,
23840,Merrimack Police Department,merrimack-police-department,approved,False,False,3936,,
316,New York State Office of Court Administration,new-york-state-office-of-court-administration,approved,False,False,16,,
23867,Town Clerk,msiegelbayharborislands-flgov,approved,False,False,10550,,
399,"Department of Energy, Idaho National Laboratory",department-energy-idaho-national-laboratory,approved,False,False,10,,
23947,Richardson Bay Regional Agency,richardson-bay-regional-agency,approved,False,False,3427,,
23129,Walnut Creek,walnut-creek,approved,False,False,52,,
23935,Seven Mile Police Department,seven-mile-police-department,approved,False,False,25299,,
23939,Village Of Mount Prospect Illinois,village-of-mount-prospect-illinois,approved,False,False,8189,,
23944,Police Department,police-department,approved,False,False,9958,,
23936,Chicago Department Of Business Affairs & Consumer Protection,chicago-department-of-business-affairs-consumer-protection,approved,False,False,169,,
23952,Juvenile And Domestic Chesapeake Virginia,juvenile-and-domestic-chesapeake-virginia,approved,False,False,731,,
